"","ID","population_density","wc2.1_30s_elev","sand_0-5cm","nitrogen_0-5cm","soc_5-15cm"
"1225",1225,1762.39855957031,53,33,1.60000002384186,14
"1226",1226,1762.39855957031,53,33,1.79999995231628,13.5
"1227",1227,1556.60290527344,50,31,1.60000002384186,12.3999996185303
"1228",1228,1657.27868652344,50,32,2,14
"1229",1229,1412.5693359375,64,31,1.39999997615814,14.1999998092651
"1230",1230,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1231",1231,1160.39697265625,60,31,1.5,15.1999998092651
"1232",1232,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1233",1233,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1234",1234,1188.10974121094,64,34,1.39999997615814,13.3000001907349
"1235",1235,1188.10974121094,64,34,1.39999997615814,14.3000001907349
"1236",1236,1188.10974121094,63,34,1.39999997615814,13.1000003814697
"1237",1237,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1238",1238,1585.27038574219,55,32,2,14.6999998092651
"1239",1239,1412.5693359375,63,32,1.39999997615814,15.6999998092651
"1240",1240,1412.5693359375,63,32,1.39999997615814,14.8000001907349
"1241",1241,1175.27648925781,80,43,1.29999995231628,12.8999996185303
"1242",1242,1188.10974121094,64,34,1.39999997615814,14.3000001907349
"1243",1243,1412.5693359375,64,31,1.39999997615814,14.1999998092651
"1244",1244,1160.39697265625,60,31,1.5,15.1999998092651
"1245",1245,1585.27038574219,58,31,2,14.5
"1246",1246,1028.37341308594,49,31,1.5,15.3000001907349
"1247",1247,1160.39697265625,59,30,1.5,14.3000001907349
"1248",1248,1412.5693359375,65,33,1.29999995231628,14.5
"1249",1249,1762.39855957031,53,32,1.70000004768372,13.5
"1250",1250,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1251",1251,1140.12536621094,60,32,1.60000002384186,14.8999996185303
"1252",1252,1556.60290527344,50,30,1.5,12.6999998092651
"1253",1253,1110.33923339844,74,28,1.39999997615814,10.6000003814697
"1254",1254,1257.41528320312,76,28,1.5,11
"1255",1255,1412.62927246094,76,28,1.29999995231628,8.80000019073486
"1256",1256,1121.17614746094,69,28,1.5,17.5
"1257",1257,1360.38708496094,66,25,1.29999995231628,11.1000003814697
"1258",1258,1360.38708496094,66,25,1.29999995231628,11.1000003814697
"1259",1259,1059.64855957031,70,27,1.29999995231628,10.6000003814697
"1260",1260,1110.33923339844,74,28,1.39999997615814,10.6000003814697
"1261",1261,1435.88806152344,78,28,1.29999995231628,11.6999998092651
"1262",1262,1110.33923339844,74,27,1.29999995231628,10.8999996185303
"1263",1263,1371.44909667969,69,28,1.39999997615814,9.30000019073486
"1264",1264,1371.44909667969,69,28,1.39999997615814,9.30000019073486
"1265",1265,1612.33422851562,74,26,1.29999995231628,10.5
"1266",1266,1121.17614746094,69,28,1.5,17.5
"1267",1267,1175.21643066406,70,27,1.39999997615814,15.3000001907349
"1268",1268,1222.92468261719,73,27,1.39999997615814,13.3000001907349
"1269",1269,1734.04577636719,72,30,1.39999997615814,10
"1270",1270,1110.33923339844,74,27,1.20000004768372,9.5
"1271",1271,1018.49554443359,73,28,1.39999997615814,17.2000007629395
"1272",1272,1018.49554443359,73,28,1.39999997615814,17.2000007629395
"1273",1273,1059.64855957031,73,27,1.20000004768372,11.8000001907349
"1274",1274,1018.49560546875,70,28,1.29999995231628,11
"1275",1275,1018.49560546875,70,28,1.29999995231628,11
"1276",1276,1018.49560546875,70,28,1.29999995231628,11
"1277",1277,1560.48095703125,73,30,1.39999997615814,8.19999980926514
"1278",1278,1780.82141113281,71,29,1.20000004768372,8.19999980926514
"1279",1279,1966.93212890625,56,31,1.5,12.6000003814697
"1280",1280,815.764953613281,45,28,1.60000002384186,12.8999996185303
"1281",1281,2131.70361328125,44,31,1.89999997615814,17.2000007629395
"1282",1282,1286.37585449219,47,33,1.70000004768372,13.8999996185303
"1283",1283,1521.14025878906,53,31,1.60000002384186,16.2999992370605
"1284",1284,977.462097167969,69,35,1.39999997615814,14.6000003814697
"1285",1285,2182.55395507812,58,29,1.39999997615814,12.8000001907349
"1286",1286,1210.2451171875,61,32,1.5,12
"1287",1287,1737.85278320312,65,30,1.29999995231628,13
"1288",1288,2270.03564453125,53,31,1.5,11.3999996185303
"1289",1289,2270.03564453125,54,31,1.60000002384186,13.5
"1290",1290,1844.97937011719,54,32,1.60000002384186,13.6000003814697
"1291",1291,1950.12390136719,56,31,1.60000002384186,13.3000001907349
"1292",1292,1844.97937011719,55,32,1.70000004768372,13.6999998092651
"1293",1293,2006.28076171875,63,31,1.60000002384186,13.1000003814697
"1294",1294,2006.28076171875,62,31,1.79999995231628,13.3000001907349
"1295",1295,2006.28076171875,62,31,1.79999995231628,13.3000001907349
